id,sex,age,edu,drink
1,2,5,2,5
2,2,5,6,6
3,2,6,1,7
4,2,6,5,6
5,1,2,6,7
6,1,3,7,4
7,2,4,2,7
8,1,3,7,4
9,2,1,5,4
10,2,4,4,7
11,2,7,2,3
12,1,2,2,7
13,2,1,1,7
14,1,4,2,5
15,1,2,5,2
16,2,7,4,6
17,2,6,3,7
18,2,5,6,6
19,2,4,7,2
20,1,2,1,5
21,1,5,6,7
22,1,7,2,6
23,1,6,7,4
24,1,7,1,1
25,2,2,7,6
26,1,5,5,5
27,2,6,4,5
28,1,3,4,5
29,2,5,6,6
30,2,3,3,7
31,2,7,2,7
32,2,5,2,5
33,1,4,7,5
34,2,5,2,7
35,2,6,5,5
36,1,6,2,6
37,2,1,6,3
38,2,5,6,3
39,1,3,6,2
40,1,7,1,7
41,2,2,7,6
42,1,2,2,5
43,1,4,4,5
44,2,6,3,7
45,1,1,1,7
46,2,3,4,5
47,1,6,1,5
48,1,5,4,6
49,1,7,2,4
50,1,4,1,6
51,2,6,2,1
52,1,7,4,2
53,2,5,2,3
54,2,7,2,3
55,2,6,2,6
56,1,4,7,3
57,2,6,2,6
58,2,5,7,2
59,2,5,2,6
60,2,4,4,4
61,1,6,2,6
62,1,4,3,7
63,1,4,4,3
64,2,2,7,4
65,1,6,2,5
66,1,2,4,5
67,1,5,6,6
68,2,3,2,7
69,2,7,1,6
70,1,1,2,5
71,1,4,2,3
72,2,6,6,3
73,1,7,1,6
74,2,5,4,6
75,1,6,6,1
76,2,5,4,5
77,1,5,6,1
78,1,5,5,4
79,1,4,3,4
80,2,7,1,7
81,2,5,97,97
82,2,2,4,6
83,2,4,4,4
84,2,3,6,3
85,2,2,4,4
86,2,4,4,5
87,1,6,6,6
88,2,6,4,5
89,2,6,2,7
90,2,6,2,6
91,1,7,7,2
92,1,3,3,4
93,2,5,4,5
94,2,6,4,4
95,1,5,1,3
96,2,4,1,4
97,1,7,7,1
98,2,6,2,6
99,1,6,2,2
100,1,3,6,2
101,1,5,3,2
102,1,2,6,6
103,2,3,6,7
104,2,4,2,3
105,2,3,4,5
106,2,6,2,7
107,2,5,4,5
108,2,4,4,3
109,1,2,4,3
110,2,5,1,6
111,2,7,4,7
112,2,5,2,3
113,1,3,2,5
114,2,4,4,2
115,1,6,6,3
116,2,6,2,5
