id,sex,age,edu,drink
1,female,55-64,high school diploma,once or twice in the past month
2,female,55-64,bachelor's degree ,not in the past month
3,female,65-74,less than high school diploma,never drink
4,female,65-74,university diploma below bachelor's degree,not in the past month
5,male,25-34,bachelor's degree ,never drink
6,male,35-44,university diploma above bachelor's degree,once a week
7,female,45-54,high school diploma,never drink
8,male,35-44,university diploma above bachelor's degree,once a week
9,female,15-24,university diploma below bachelor's degree,once a week
10,female,45-54,college diploma,never drink
11,female,75&over,high school diploma,2-3 times a week
12,male,25-34,high school diploma,never drink
13,female,15-24,less than high school diploma,never drink
14,male,45-54,high school diploma,once or twice in the past month
15,male,25-34,university diploma below bachelor's degree,4-6 times a week
16,female,75&over,college diploma,not in the past month
17,female,65-74,trade certificate,never drink
18,female,55-64,bachelor's degree ,not in the past month
19,female,45-54,university diploma above bachelor's degree,4-6 times a week
20,male,25-34,less than high school diploma,once or twice in the past month
21,male,55-64,bachelor's degree ,never drink
22,male,75&over,high school diploma,not in the past month
23,male,65-74,university diploma above bachelor's degree,once a week
24,male,75&over,less than high school diploma,everyday
25,female,25-34,university diploma above bachelor's degree,not in the past month
26,male,55-64,university diploma below bachelor's degree,once or twice in the past month
27,female,65-74,college diploma,once or twice in the past month
28,male,35-44,college diploma,once or twice in the past month
29,female,55-64,bachelor's degree ,not in the past month
30,female,35-44,trade certificate,never drink
31,female,75&over,high school diploma,never drink
32,female,55-64,high school diploma,once or twice in the past month
33,male,45-54,university diploma above bachelor's degree,once or twice in the past month
34,female,55-64,high school diploma,never drink
35,female,65-74,university diploma below bachelor's degree,once or twice in the past month
36,male,65-74,high school diploma,not in the past month
37,female,15-24,bachelor's degree ,2-3 times a week
38,female,55-64,bachelor's degree ,2-3 times a week
39,male,35-44,bachelor's degree ,4-6 times a week
40,male,75&over,less than high school diploma,never drink
41,female,25-34,university diploma above bachelor's degree,not in the past month
42,male,25-34,high school diploma,once or twice in the past month
43,male,45-54,college diploma,once or twice in the past month
44,female,65-74,trade certificate,never drink
45,male,15-24,less than high school diploma,never drink
46,female,35-44,college diploma,once or twice in the past month
47,male,65-74,less than high school diploma,once or twice in the past month
48,male,55-64,college diploma,not in the past month
49,male,75&over,high school diploma,once a week
50,male,45-54,less than high school diploma,not in the past month
51,female,65-74,high school diploma,everyday
52,male,75&over,college diploma,4-6 times a week
53,female,55-64,high school diploma,2-3 times a week
54,female,75&over,high school diploma,2-3 times a week
55,female,65-74,high school diploma,not in the past month
56,male,45-54,university diploma above bachelor's degree,2-3 times a week
57,female,65-74,high school diploma,not in the past month
58,female,55-64,university diploma above bachelor's degree,4-6 times a week
59,female,55-64,high school diploma,not in the past month
60,female,45-54,college diploma,once a week
61,male,65-74,high school diploma,not in the past month
62,male,45-54,trade certificate,never drink
63,male,45-54,college diploma,2-3 times a week
64,female,25-34,university diploma above bachelor's degree,once a week
65,male,65-74,high school diploma,once or twice in the past month
66,male,25-34,college diploma,once or twice in the past month
67,male,55-64,bachelor's degree ,not in the past month
68,female,35-44,high school diploma,never drink
69,female,75&over,less than high school diploma,not in the past month
70,male,15-24,high school diploma,once or twice in the past month
71,male,45-54,high school diploma,2-3 times a week
72,female,65-74,bachelor's degree ,2-3 times a week
73,male,75&over,less than high school diploma,not in the past month
74,female,55-64,college diploma,not in the past month
75,male,65-74,bachelor's degree ,everyday
76,female,55-64,college diploma,once or twice in the past month
77,male,55-64,bachelor's degree ,everyday
78,male,55-64,university diploma below bachelor's degree,once a week
79,male,45-54,trade certificate,once a week
80,female,75&over,less than high school diploma,never drink
81,female,55-64,don't know,don't know
82,female,25-34,college diploma,not in the past month
83,female,45-54,college diploma,once a week
84,female,35-44,bachelor's degree ,2-3 times a week
85,female,25-34,college diploma,once a week
86,female,45-54,college diploma,once or twice in the past month
87,male,65-74,bachelor's degree ,not in the past month
88,female,65-74,college diploma,once or twice in the past month
89,female,65-74,high school diploma,never drink
90,female,65-74,high school diploma,not in the past month
91,male,75&over,university diploma above bachelor's degree,4-6 times a week
92,male,35-44,trade certificate,once a week
93,female,55-64,college diploma,once or twice in the past month
94,female,65-74,college diploma,once a week
95,male,55-64,less than high school diploma,2-3 times a week
96,female,45-54,less than high school diploma,once a week
97,male,75&over,university diploma above bachelor's degree,everyday
98,female,65-74,high school diploma,not in the past month
99,male,65-74,high school diploma,4-6 times a week
100,male,35-44,bachelor's degree ,4-6 times a week
101,male,55-64,trade certificate,4-6 times a week
102,male,25-34,bachelor's degree ,not in the past month
103,female,35-44,bachelor's degree ,never drink
104,female,45-54,high school diploma,2-3 times a week
105,female,35-44,college diploma,once or twice in the past month
106,female,65-74,high school diploma,never drink
107,female,55-64,college diploma,once or twice in the past month
108,female,45-54,college diploma,2-3 times a week
109,male,25-34,college diploma,2-3 times a week
110,female,55-64,less than high school diploma,not in the past month
111,female,75&over,college diploma,never drink
112,female,55-64,high school diploma,2-3 times a week
113,male,35-44,high school diploma,once or twice in the past month
114,female,45-54,college diploma,4-6 times a week
115,male,65-74,bachelor's degree ,2-3 times a week
116,female,65-74,high school diploma,once or twice in the past month
117,female,65-74,less than high school diploma,not in the past month
118,male,65-74,high school diploma,not in the past month
119,male,45-54,college diploma,never drink
120,male,75&over,trade certificate,once a week
121,female,65-74,high school diploma,once or twice in the past month
122,female,55-64,college diploma,once or twice in the past month
123,female,45-54,less than high school diploma,never drink
124,female,75&over,less than high school diploma,not in the past month
125,male,65-74,university diploma above bachelor's degree,4-6 times a week
126,male,45-54,bachelor's degree ,once a week
127,female,55-64,high school diploma,never drink
128,male,45-54,university diploma above bachelor's degree,2-3 times a week
129,female,55-64,college diploma,2-3 times a week
130,female,45-54,college diploma,once a week
131,male,65-74,university diploma below bachelor's degree,once or twice in the past month
132,male,35-44,college diploma,2-3 times a week
133,male,65-74,trade certificate,once or twice in the past month
134,female,45-54,bachelor's degree ,not in the past month
135,female,65-74,bachelor's degree ,4-6 times a week
136,female,35-44,bachelor's degree ,4-6 times a week
137,male,15-24,less than high school diploma,not in the past month
138,female,55-64,college diploma,everyday
139,male,35-44,college diploma,once a week
140,female,45-54,college diploma,once or twice in the past month
141,female,65-74,trade certificate,not in the past month
142,male,15-24,less than high school diploma,never drink
143,female,55-64,college diploma,never drink
144,female,25-34,bachelor's degree ,once a week
145,female,55-64,less than high school diploma,not in the past month
146,female,55-64,university diploma above bachelor's degree,2-3 times a week
147,male,35-44,bachelor's degree ,4-6 times a week
148,female,65-74,less than high school diploma,not in the past month
149,female,35-44,college diploma,never drink
150,female,55-64,high school diploma,never drink
151,male,25-34,college diploma,2-3 times a week
152,female,35-44,high school diploma,once or twice in the past month
153,female,35-44,bachelor's degree ,once or twice in the past month
154,male,65-74,trade certificate,never drink
155,female,35-44,bachelor's degree ,once a week
156,male,65-74,university diploma below bachelor's degree,2-3 times a week
157,male,55-64,high school diploma,once or twice in the past month
158,male,45-54,college diploma,once or twice in the past month
159,female,45-54,university diploma below bachelor's degree,never drink
160,female,65-74,college diploma,never drink
161,female,25-34,university diploma above bachelor's degree,once or twice in the past month
162,female,35-44,bachelor's degree ,2-3 times a week
163,male,15-24,bachelor's degree ,once or twice in the past month
164,male,25-34,high school diploma,once or twice in the past month
165,female,15-24,bachelor's degree ,once or twice in the past month
166,female,45-54,college diploma,2-3 times a week
167,male,35-44,bachelor's degree ,never drink
168,male,75&over,less than high school diploma,2-3 times a week
169,female,55-64,high school diploma,once or twice in the past month
170,female,75&over,high school diploma,once or twice in the past month
171,female,35-44,bachelor's degree ,4-6 times a week
172,female,75&over,less than high school diploma,not in the past month
173,male,55-64,college diploma,once or twice in the past month
174,female,45-54,bachelor's degree ,never drink
175,male,35-44,bachelor's degree ,once or twice in the past month
176,female,45-54,high school diploma,not in the past month
177,female,75&over,less than high school diploma,never drink
178,female,25-34,college diploma,once a week
179,male,75&over,less than high school diploma,not in the past month
180,male,65-74,bachelor's degree ,2-3 times a week
181,female,45-54,not stated,once or twice in the past month
182,male,55-64,bachelor's degree ,4-6 times a week
183,female,75&over,bachelor's degree ,once or twice in the past month
184,male,45-54,high school diploma,not in the past month
185,female,65-74,high school diploma,2-3 times a week
186,female,65-74,less than high school diploma,2-3 times a week
187,female,65-74,bachelor's degree ,2-3 times a week
188,female,55-64,high school diploma,4-6 times a week
189,male,55-64,university diploma above bachelor's degree,everyday
190,male,55-64,bachelor's degree ,2-3 times a week
191,female,65-74,high school diploma,not in the past month
192,female,55-64,bachelor's degree ,never drink
193,female,75&over,less than high school diploma,never drink
194,female,65-74,high school diploma,2-3 times a week
195,male,15-24,less than high school diploma,never drink
196,female,35-44,university diploma above bachelor's degree,not in the past month
197,female,25-34,college diploma,once or twice in the past month
198,female,65-74,high school diploma,not in the past month
199,female,15-24,less than high school diploma,never drink
200,male,35-44,bachelor's degree ,once a week
